"","mean","sd","n_eff","Rhat","Q5","Q50","Q95"
"alpha",1.86270939899772,0.0996191212220435,2795,1.00038700408857,1.70164189173253,1.86176020284991,2.03032193886973
"beta",2.1745253185771,0.13360851021064,2854,1.0006062743236,1.95716225539401,2.17354617260133,2.39977969088951
"mu[1]",-0.670804681071886,0.128112813632547,5124,1.00028034665023,-0.884100669339541,-0.669188724911232,-0.458319939418963
"mu[2]",3.49246033708468,0.0739117708935317,4676,1.00018090335005,3.37340527927368,3.49206856537486,3.61258465910439
"mu[3]",4.67259655613795,0.123558216593165,4333,1.00161547289926,4.46781471546615,4.67282142150841,4.87542333700962
"sigma[1]",3.12209440928074,0.0921169941091551,4703,0.999983005681329,2.97711800964747,3.11874246717511,3.27843875116716
"sigma[2]",1.78837247005767,0.0512891153530076,4920,0.999303873903264,1.70745360031719,1.7872727172862,1.87426800840823
"sigma[3]",2.97164143445361,0.0868217517336073,4126,1.00482925283838,2.83327590444082,2.96903952236383,3.11569110712078
"ypred_1[1]",0.860083324396961,0.628226560709244,3924,0.999795637602041,0.13307393326693,0.71787014535064,2.09439659474658
"ypred_1[2]",-0.640452296557407,3.08787360385587,3932,1.00185899911388,-5.71372008305814,-0.698238481627075,4.34061010678176
"ypred_1[3]",3.46722932063146,1.77433116989192,3922,1.00028682431917,0.57843529105428,3.45940124922668,6.36275812773925
"ypred_1[4]",4.64807316939714,2.97038147214185,4115,1.00076292679813,-0.132549420533199,4.58745374426302,9.59790730315241
"ypred_2[1]",0.866083481269843,0.642970670328401,3854,1.0012001784093,0.14033085155912,0.710675546729604,2.10198847897687
"ypred_2[2]",-0.79552641422255,3.08754379688546,4018,0.999472014234717,-5.79648848636795,-0.829707227755488,4.27925362238366
"ypred_2[3]",3.52884610512935,1.78156423880757,4215,0.999709237160222,0.636781799901809,3.51334447159937,6.5866486983548
"ypred_2[4]",4.62432187682966,2.93091601553541,3978,1.00019263746458,-0.247438556694421,4.65759122510115,9.45261334407756
"ypred_3[1]",0.852618486746633,0.631684751967152,3770,1.00055986147308,0.148633905044218,0.704607207772627,2.07510563147899
"ypred_3[2]",-0.594399044095597,3.13229516572101,3710,0.999784109814336,-5.68930514166528,-0.624305220780469,4.63871860072468
"ypred_3[3]",3.51619036090998,1.79958363725714,4004,0.999955103166069,0.589101732700388,3.50676277613443,6.48330649900114
"ypred_3[4]",4.72291270927708,2.97730251462764,3908,0.999805724635079,-0.0356409742566796,4.69219682556192,9.67667040676991
